epoch,val_loss,val_acc,lr,train_flops,val_flops,cumulative_flops,train_loss,train_acc
0,2.3349151611328125,0.08984375,0.1,0,0,0,,
0,1.97703218460083,0.2280000001192093,0.09999383162408304,12894647040000,0,12894647040000,,
0,,,0.09999383162408304,12894647040000,0,12894647040000,2.1790618896484375,0.19262222945690155
1,1.7546414136886597,0.3294000029563904,0.09997532801828658,12894647040000,0,25789294080000,,
1,,,0.09997532801828658,12894647040000,0,25789294080000,1.7909698486328125,0.31940001249313354
2,1.573572039604187,0.3962000012397766,0.09994449374809851,12894647040000,0,38683941120000,,
2,,,0.09994449374809851,12894647040000,0,38683941120000,1.633175015449524,0.3790888786315918
3,1.3578519821166992,0.49160000681877136,0.09990133642141359,12894647040000,0,51578588160000,,
3,,,0.09990133642141359,12894647040000,0,51578588160000,1.4677541255950928,0.4519333243370056
4,1.307796597480774,0.5424000024795532,0.09984586668665642,12894647040000,0,64473235200000,,
4,,,0.09984586668665642,12894647040000,0,64473235200000,1.3048193454742432,0.5222889184951782
5,1.2478208541870117,0.5594000220298767,0.09977809823015402,12894647040000,0,77367882240000,,
5,,,0.09977809823015402,12894647040000,0,77367882240000,1.1956021785736084,0.5664888620376587
6,1.1520496606826782,0.5952000021934509,0.09969804777275901,12894647040000,0,90262529280000,,
6,,,0.09969804777275901,12894647040000,0,90262529280000,1.076612949371338,0.6140221953392029
7,1.0004258155822754,0.6412000060081482,0.09960573506572391,12894647040000,0,103157176320000,,
7,,,0.09960573506572391,12894647040000,0,103157176320000,0.9986571073532104,0.6443777680397034
8,0.9321595430374146,0.6620000004768372,0.09950118288582789,12894647040000,0,116051823360000,,
8,,,0.09950118288582789,12894647040000,0,116051823360000,0.9788094758987427,0.6517999768257141
9,0.9318390488624573,0.6725999712944031,0.09938441702975691,12894647040000,0,128946470400000,,
9,,,0.09938441702975691,12894647040000,0,128946470400000,0.9111424684524536,0.6761333346366882
10,0.8936412334442139,0.6887999773025513,0.09925546630773871,12894647040000,0,141841117440000,,
10,,,0.09925546630773871,12894647040000,0,141841117440000,0.8657521605491638,0.692466676235199
11,0.8687453269958496,0.6967999935150146,0.09911436253643445,12894647040000,0,154735764480000,,
11,,,0.09911436253643445,12894647040000,0,154735764480000,0.8210383653640747,0.7103999853134155
12,0.825793445110321,0.7080000042915344,0.0989611405310883,12894647040000,0,167630411520000,,
12,,,0.0989611405310883,12894647040000,0,167630411520000,0.7948102355003357,0.7189333438873291
13,0.8144470453262329,0.7139999866485596,0.09879583809693739,12894647040000,0,180525058560000,,
13,,,0.09879583809693739,12894647040000,0,180525058560000,0.7731302976608276,0.7292666435241699
14,0.7756324410438538,0.7269999980926514,0.09861849601988384,12894647040000,0,193419705600000,,
14,,,0.09861849601988384,12894647040000,0,193419705600000,0.7461820244789124,0.7397111058235168
15,0.7800819873809814,0.7271999716758728,0.09842915805643157,12894647040000,0,206314352640000,,
15,,,0.09842915805643157,12894647040000,0,206314352640000,0.700702428817749,0.7555111050605774
16,0.7272441983222961,0.7429999709129333,0.09822787092288993,12894647040000,0,219208999680000,,
16,,,0.09822787092288993,12894647040000,0,219208999680000,0.6890392899513245,0.7624222040176392
17,0.7304845452308655,0.7508000135421753,0.09801468428384717,12894647040000,0,232103646720000,,
17,,,0.09801468428384717,12894647040000,0,232103646720000,0.6802510619163513,0.7662222385406494
18,0.7229285836219788,0.7476000189781189,0.09778965073991652,12894647040000,0,244998293760000,,
18,,,0.09778965073991652,12894647040000,0,244998293760000,0.654147744178772,0.7754666805267334
19,0.6769165992736816,0.7638000249862671,0.0975528258147577,12894647040000,0,257892940800000,,
19,,,0.0975528258147577,12894647040000,0,257892940800000,0.629909873008728,0.7827777862548828
