epoch,val_loss,val_acc,lr,train_flops,val_flops,cumulative_flops,train_loss,train_acc
0,3.7650251388549805,0.08984375,0.1,0,0,0,,
0,2.0301737785339355,0.19339999556541443,0.09999383162408304,3320144640000,0,3320144640000,,
0,,,0.09999383162408304,3320144640000,0,3320144640000,2.243173837661743,0.15853333473205566
1,1.9934296607971191,0.23360000550746918,0.09997532801828658,3320144640000,0,6640289280000,,
1,,,0.09997532801828658,3320144640000,0,6640289280000,2.0122601985931396,0.21491111814975739
2,1.898199200630188,0.2818000018596649,0.09994449374809851,3320144640000,0,9960433920000,,
2,,,0.09994449374809851,3320144640000,0,9960433920000,1.9388352632522583,0.24675555527210236
3,1.8910373449325562,0.2648000121116638,0.09990133642141359,3320144640000,0,13280578560000,,
3,,,0.09990133642141359,3320144640000,0,13280578560000,1.8950645923614502,0.2697555422782898
4,1.82646644115448,0.29420000314712524,0.09984586668665642,3320144640000,0,16600723200000,,
4,,,0.09984586668665642,3320144640000,0,16600723200000,1.8294572830200195,0.2928222119808197
5,1.7054030895233154,0.3407999873161316,0.09977809823015402,3320144640000,0,19920867840000,,
5,,,0.09977809823015402,3320144640000,0,19920867840000,1.7621557712554932,0.32324445247650146
6,1.7646740674972534,0.36340001225471497,0.09969804777275901,3320144640000,0,23241012480000,,
6,,,0.09969804777275901,3320144640000,0,23241012480000,1.7042967081069946,0.3554222285747528
7,1.5593847036361694,0.43560001254081726,0.09960573506572391,3320144640000,0,26561157120000,,
7,,,0.09960573506572391,3320144640000,0,26561157120000,1.6456215381622314,0.38395556807518005
8,1.6057395935058594,0.41200000047683716,0.09950118288582789,3320144640000,0,29881301760000,,
8,,,0.09950118288582789,3320144640000,0,29881301760000,1.6125574111938477,0.40006667375564575
9,1.6145612001419067,0.4115999937057495,0.09938441702975691,3320144640000,0,33201446400000,,
9,,,0.09938441702975691,3320144640000,0,33201446400000,1.567003846168518,0.41839998960494995
10,1.551489233970642,0.4415999948978424,0.09925546630773871,3320144640000,0,36521591040000,,
10,,,0.09925546630773871,3320144640000,0,36521591040000,1.536987543106079,0.43186667561531067
11,1.482595682144165,0.45899999141693115,0.09911436253643445,3320144640000,0,39841735680000,,
11,,,0.09911436253643445,3320144640000,0,39841735680000,1.5080889463424683,0.44306665658950806
12,1.4834940433502197,0.4521999955177307,0.0989611405310883,3320144640000,0,43161880320000,,
12,,,0.0989611405310883,3320144640000,0,43161880320000,1.4912992715835571,0.4543555676937103
13,1.4256796836853027,0.4772000014781952,0.09879583809693739,3320144640000,0,46482024960000,,
13,,,0.09879583809693739,3320144640000,0,46482024960000,1.4542019367218018,0.466355562210083
14,1.4336748123168945,0.4864000082015991,0.09861849601988384,3320144640000,0,49802169600000,,
14,,,0.09861849601988384,3320144640000,0,49802169600000,1.4362246990203857,0.4741111099720001
15,1.3754717111587524,0.4927999973297119,0.09842915805643157,3320144640000,0,53122314240000,,
15,,,0.09842915805643157,3320144640000,0,53122314240000,1.4373342990875244,0.4743777811527252
16,1.4542821645736694,0.4708000123500824,0.09822787092288993,3320144640000,0,56442458880000,,
16,,,0.09822787092288993,3320144640000,0,56442458880000,1.4242030382156372,0.4803111255168915
17,1.3481594324111938,0.5171999931335449,0.09801468428384717,3320144640000,0,59762603520000,,
17,,,0.09801468428384717,3320144640000,0,59762603520000,1.4006785154342651,0.48786666989326477
18,1.34559965133667,0.515999972820282,0.09778965073991652,3320144640000,0,63082748160000,,
18,,,0.09778965073991652,3320144640000,0,63082748160000,1.3860012292861938,0.4949111044406891
19,1.3714641332626343,0.4936000108718872,0.0975528258147577,3320144640000,0,66402892800000,,
19,,,0.0975528258147577,3320144640000,0,66402892800000,1.3641175031661987,0.5035333037376404
20,1.3150218725204468,0.5288000106811523,0.09730426794137728,3320144640000,0,69723037440000,,
20,,,0.09730426794137728,3320144640000,0,69723037440000,1.3531147241592407,0.5050666928291321
21,1.3724349737167358,0.5266000032424927,0.09704403844771128,3320144640000,0,73043182080000,,
21,,,0.09704403844771128,3320144640000,0,73043182080000,1.351759672164917,0.5099777579307556
22,1.3506121635437012,0.5099999904632568,0.09677220154149338,3320144640000,0,76363326720000,,
22,,,0.09677220154149338,3320144640000,0,76363326720000,1.3539083003997803,0.5055555701255798
23,1.3247305154800415,0.5231999754905701,0.09648882429441258,3320144640000,0,79683471360000,,
23,,,0.09648882429441258,3320144640000,0,79683471360000,1.3417270183563232,0.5113111138343811
24,1.2405626773834229,0.5547999739646912,0.09619397662556435,3320144640000,0,83003616000000,,
24,,,0.09619397662556435,3320144640000,0,83003616000000,1.305951476097107,0.5250222086906433
25,1.3779616355895996,0.506600022315979,0.09588773128419906,3320144640000,0,86323760640000,,
25,,,0.09588773128419906,3320144640000,0,86323760640000,1.3313438892364502,0.5176888704299927
26,1.2518844604492188,0.5537999868392944,0.09557016383177226,3320144640000,0,89643905280000,,
26,,,0.09557016383177226,3320144640000,0,89643905280000,1.322729229927063,0.5202000141143799
27,1.3461004495620728,0.5072000026702881,0.09524135262330098,3320144640000,0,92964049920000,,
27,,,0.09524135262330098,3320144640000,0,92964049920000,1.2961106300354004,0.5309333205223083
28,1.2821627855300903,0.5482000112533569,0.09490137878803079,3320144640000,0,96284194560000,,
28,,,0.09490137878803079,3320144640000,0,96284194560000,1.293249249458313,0.5352222323417664
29,1.2749310731887817,0.5388000011444092,0.0945503262094184,3320144640000,0,99604339200000,,
29,,,0.0945503262094184,3320144640000,0,99604339200000,1.2789243459701538,0.5381555557250977
30,1.2401089668273926,0.5432000160217285,0.0941882815044347,3320144640000,0,102924483840000,,
30,,,0.0941882815044347,3320144640000,0,102924483840000,1.2635679244995117,0.5448444485664368
31,1.320414423942566,0.5311999917030334,0.09381533400219319,3320144640000,0,106244628480000,,
31,,,0.09381533400219319,3320144640000,0,106244628480000,1.2609132528305054,0.5432222485542297
32,1.2251540422439575,0.5637999773025513,0.09343157572190958,3320144640000,0,109564773120000,,
32,,,0.09343157572190958,3320144640000,0,109564773120000,1.2678637504577637,0.5440000295639038
33,1.2521358728408813,0.5483999848365784,0.0930371013501972,3320144640000,0,112884917760000,,
33,,,0.0930371013501972,3320144640000,0,112884917760000,1.2545524835586548,0.5490888953208923
34,1.1531007289886475,0.5861999988555908,0.09263200821770463,3320144640000,0,116205062400000,,
34,,,0.09263200821770463,3320144640000,0,116205062400000,1.2321268320083618,0.5576888918876648
35,1.2078943252563477,0.5720000267028809,0.09221639627510078,3320144640000,0,119525207040000,,
35,,,0.09221639627510078,3320144640000,0,119525207040000,1.242248296737671,0.5530444383621216
36,1.1907097101211548,0.5702000260353088,0.09179036806841355,3320144640000,0,122845351680000,,
36,,,0.09179036806841355,3320144640000,0,122845351680000,1.2284884452819824,0.5560222268104553
37,1.1972335577011108,0.5781999826431274,0.09135402871372812,3320144640000,0,126165496320000,,
37,,,0.09135402871372812,3320144640000,0,126165496320000,1.2189772129058838,0.5638222098350525
38,1.2012537717819214,0.5748000144958496,0.0909074858712512,3320144640000,0,129485640960000,,
38,,,0.0909074858712512,3320144640000,0,129485640960000,1.2262717485427856,0.5578222274780273
39,1.353132963180542,0.5206000208854675,0.09045084971874741,3320144640000,0,132805785600000,,
39,,,0.09045084971874741,3320144640000,0,132805785600000,1.2225807905197144,0.5611555576324463
40,1.2311033010482788,0.5633999705314636,0.08998423292435458,3320144640000,0,136125930240000,,
40,,,0.08998423292435458,3320144640000,0,136125930240000,1.217358946800232,0.5606666803359985
41,1.2262684106826782,0.5576000213623047,0.08950775061878455,3320144640000,0,139446074880000,,
41,,,0.08950775061878455,3320144640000,0,139446074880000,1.2175301313400269,0.5651111006736755
42,1.1738567352294922,0.5853999853134155,0.08902152036691653,3320144640000,0,142766219520000,,
42,,,0.08902152036691653,3320144640000,0,142766219520000,1.1981861591339111,0.5690000057220459
43,1.226597785949707,0.5687999725341797,0.08852566213878951,3320144640000,0,146086364160000,,
43,,,0.08852566213878951,3320144640000,0,146086364160000,1.202130675315857,0.5701555609703064
44,1.2196400165557861,0.574999988079071,0.0880202982800016,3320144640000,0,149406508800000,,
44,,,0.0880202982800016,3320144640000,0,149406508800000,1.1873568296432495,0.5758888721466064
45,1.1942229270935059,0.5910000205039978,0.08750555348152303,3320144640000,0,152726653440000,,
45,,,0.08750555348152303,3320144640000,0,152726653440000,1.1717051267623901,0.5825111269950867
46,1.1502437591552734,0.5935999751091003,0.08698155474893052,3320144640000,0,156046798080000,,
46,,,0.08698155474893052,3320144640000,0,156046798080000,1.1958413124084473,0.5718444585800171
47,1.1080915927886963,0.6025999784469604,0.08644843137107061,3320144640000,0,159366942720000,,
47,,,0.08644843137107061,3320144640000,0,159366942720000,1.1770843267440796,0.5795555710792542
48,1.1932071447372437,0.573199987411499,0.08590631488815947,3320144640000,0,162687087360000,,
48,,,0.08590631488815947,3320144640000,0,162687087360000,1.1779263019561768,0.5800889134407043
49,1.12698233127594,0.6011999845504761,0.0853553390593274,3320144640000,0,166007232000000,,
49,,,0.0853553390593274,3320144640000,0,166007232000000,1.154958963394165,0.5860666632652283
50,1.1210578680038452,0.605400025844574,0.08479563982961574,3320144640000,0,169327376640000,,
50,,,0.08479563982961574,3320144640000,0,169327376640000,1.1611242294311523,0.5836666822433472
51,1.1162422895431519,0.6037999987602234,0.08422735529643446,3320144640000,0,172647521280000,,
51,,,0.08422735529643446,3320144640000,0,172647521280000,1.161192536354065,0.5876222252845764
52,1.102754831314087,0.604200005531311,0.08365062567548869,3320144640000,0,175967665920000,,
52,,,0.08365062567548869,3320144640000,0,175967665920000,1.1578909158706665,0.584933340549469
53,1.205047607421875,0.5740000009536743,0.08306559326618261,3320144640000,0,179287810560000,,
53,,,0.08306559326618261,3320144640000,0,179287810560000,1.1517826318740845,0.5901555418968201
54,1.140500545501709,0.6015999913215637,0.0824724024165092,3320144640000,0,182607955200000,,
54,,,0.0824724024165092,3320144640000,0,182607955200000,1.147598147392273,0.5884888768196106
55,1.1590867042541504,0.5910000205039978,0.0818711994874345,3320144640000,0,185928099840000,,
55,,,0.0818711994874345,3320144640000,0,185928099840000,1.1355516910552979,0.5947777628898621
56,1.092360019683838,0.6115999817848206,0.08126213281678528,3320144640000,0,189248244480000,,
56,,,0.08126213281678528,3320144640000,0,189248244480000,1.1380094289779663,0.5924000144004822
57,1.105120062828064,0.6064000129699707,0.08064535268264884,3320144640000,0,192568389120000,,
57,,,0.08064535268264884,3320144640000,0,192568389120000,1.1430484056472778,0.5924444198608398
58,1.1412674188613892,0.5964000225067139,0.08002101126629421,3320144640000,0,195888533760000,,
58,,,0.08002101126629421,3320144640000,0,195888533760000,1.127966284751892,0.5988888740539551
59,1.1077762842178345,0.6227999925613403,0.07938926261462367,3320144640000,0,199208678400000,,
59,,,0.07938926261462367,3320144640000,0,199208678400000,1.1158102750778198,0.6028888821601868
60,1.1262508630752563,0.6083999872207642,0.07875026260216395,3320144640000,0,202528823040000,,
60,,,0.07875026260216395,3320144640000,0,202528823040000,1.1288282871246338,0.598800003528595
